Model,Accuracy,Precision,Recall,F1_Score,Training_Time_s,Prediction_Time_s
Logistic Regression,0.9392602646759416,0.9397525761413079,0.9392602646759416,0.9391961995005704,2.147172212600708,0.0
Decision Tree,0.8551068883610451,0.8559716232258436,0.8551068883610451,0.8544976759725161,4.693347454071045,0.0060346126556396484
Random Forest,0.9093993892093655,0.9107866605525218,0.9093993892093655,0.9088908673201489,15.13404893875122,0.06317400932312012
KNN,0.8527315914489311,0.867315427125804,0.8527315914489311,0.8516232837423388,0.0,3.636833906173706
Gradient Boosting,0.9260264675941635,0.9272949843279058,0.9260264675941635,0.9257305402538244,768.5630276203156,0.11416149139404297
Support Vector Machine,0.9395995928062436,0.9403278362591354,0.9395995928062436,0.9394856148346924,8.602573156356812,0.3985919952392578
