,precision,recall,f1-score,support
WALKING,0.9267822736030829,0.969758064516129,0.9477832512315271,496.0
WALKING_UPSTAIRS,0.970917225950783,0.921443736730361,0.9455337690631809,471.0
WALKING_DOWNSTAIRS,0.9456264775413712,0.9523809523809523,0.9489916963226572,420.0
SITTING,0.9193899782135077,0.8594704684317719,0.888421052631579,491.0
STANDING,0.8807829181494662,0.9304511278195489,0.9049360146252285,532.0
LAYING,1.0,1.0,1.0,537.0
accuracy,0.9395995928062436,0.9395995928062436,0.9395995928062436,0.9395995928062436
macro avg,0.9405831455763685,0.9389173916464605,0.9392776306456954,2947.0
weighted avg,0.9403278362591354,0.9395995928062436,0.9394856148346924,2947.0
